品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
魅族PRO 6（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 Helio X25（MT6797T）|1.4GHz x4 + 2.0GHz x4 + 2.5GHz x2  十核|2560mAh  不可拆卸式电池|2116万像素|Flyme|4GB|2299
360 手机N6（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.93英寸  2160x1080像素|高通 骁龙630|2.2GHz  八核|5030mAh  不可拆卸式电池|1300万像素|360 OS 3.0|4GB|999
三星GALAXY C7（C7000/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3300mAh  不可拆卸式电池|1600万像素|Android 6.0|4GB|1496
一加3T（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.35GHz  四核|3400mAh  不可拆卸式电池|1600万像素|H2OS 2.5 （基于Android 6.0）|6GB|2699
荣耀10 GT（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.84英寸  2280x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|3400mAh  不可拆卸式电池|黑白2400万像素+彩色1600万像素|EMUI 8.1（基于Android 8.1）|8GB|3299
锤子科技坚果Pro（64GB ROM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙626（MSM8953 Pro）|2.2GHz  八核|3500mAh  不可拆卸式电池|双1300万像素|Smartisan OS 3.6|4GB|1179
小米8 SE（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.88英寸  2244x1080像素|高通 骁龙710|2.2GHz  八核|3120mAh  不可拆卸式电池|1200万像素+500万像素|MIUI 9（基于Android 8.1）|6GB|1599
三星W2018（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.2英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.35GHz（大四核），1.9GHz（小四核）  八核|2300mAh|1200万像素|Android 7.1|6GB|9966
锤子科技坚果Pro 2S（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙710|2.2GHz  八核|3600mAh  不可拆卸式电池|1200万像素+500万像素|Smartisan OS|6GB|1998
一加6T迈凯伦特别版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.41英寸  2340x1080像素|高通 骁龙845|2.8GHz  八核|3700mAh  不可拆卸式电池|2000万像素+1600万像素|H2 OS（基于Android 9.0）|10GB|4599
努比亚X（8GB RAM/星空典藏版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙845|2.8GHz  八核|3800mAh  不可拆卸式电池|2400万像素+1600万像素|nubia UI 6.0.2（基于Android 8.1）|8GB|5299
魅族PRO 6 Plus（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.7英寸  2560x1440像素|三星 Exynos 8890|2.0GHz（64GB ROM）/2.3GHz（128GB ROM）（大四核），1.5GHz（64GB ROM）/1.6GHz（128GB ROM）（小四核）  八核|3400mAh  不可拆卸式电池|1200万像素|Flyme 6|4GB|2699
魅族魅蓝5（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6750|1.5GHz（大四核），1.0GHz（小四核）  八核|3070mAh|1300万像素|Flyme（基于YunOS）|3GB|899
国美U9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.18英寸  2246x1080像素|联发科 Helio P23|2.5GHz  八核|3160mAh  不可拆卸式电池|1200万像素+500万像素|GOME OS 3.0（基于Android 8.1）|6GB|1799
魅族魅蓝5s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6753|1.3GHz  八核|3000mAh  不可拆卸式电池|1300万像素|Flyme 5（基于Android 6.0）|3GB|799
联想K5 Pro（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙636|1.8GHz  八核|4050mAh  不可拆卸式电池|1600万像素+500万像素|ZUI（基于Android 8.1）|4GB|998
美图T8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 MT6797|2.3GHz  十核|3580mAh  不可拆卸式电池|2100万像素|MEIOS 3.5（基于Android M）|4GB|2699
小米6（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.15英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.45GHz  八核|3350mAh  不可拆卸式电池|双1200万像素|MIUI 8|4GB|1959
魅族魅蓝E2（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P20|2.3GHz（大四核），1.6GHz（小四核）  八核|3400mAh  不可拆卸式电池|1300万像素|Flyme 6（基于YunOS）|3GB|899
中兴天机7s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1440x2560像素|高通 骁龙821（MSM8996 Pro）|2.15GHz  四核|3400mAh  不可拆卸式电池|2000万像素+1200万像素|Android 6.0|4GB|2799
OPPO A5（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1520x720像素|高通 骁龙450B|1.8GHz  八核|4230mAh  不可拆卸式电池|1300万像素+200万像素|ColorOS 5.1（基于Android 8.1）|3GB|1300
努比亚Z17 mini（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙653（MSM8976 pro）|2950mAh  不可拆卸式电池|双1300万像素|nubia UI 4.0 Z17mini定制版（基于Android M）|6GB|64GB|999
华为nova青春版（移动全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|海思 Kirin 658|2.1GHz（大四核），1.7GHz（小四核）  八核|3000mAh  不可拆卸式电池|1200万像素|EMUI 5.1（基于Android 7.0）|4GB|1009
Google Pixel 3（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  2160x1080像素|高通 骁龙845|2.8GHz（大四核），1.6GHz（小四核）  八核|2915mAh  不可拆卸式电池|1220万像素|Android 9.0|4GB|6568
8848 钛金手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|高通 骁龙801（MSM8974）|2.3GHz  四核|2500mAh  不可拆卸式电池|1300万像素|Android 4.4|3GB|9999
LG G8 ThinQ（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  3120x1440像素|高通 骁龙855|3500mAh  不可拆卸式电池|双2400万像素|Android 8.1|6GB|128GB|概念产品
美图V7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.21英寸  2244x1080像素|高通 骁龙845|2.8GHz  八核|3450mAh  不可拆卸式电池|1200万像素+800万像素|Android 8.1|8GB|4799
诺基亚7（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙630|2.2GHz  八核|3000mAh  不可拆卸式电池|1600万像素|Android 7.1|4GB|1199
联想ZUK Z2（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1920x1080像素|高通 骁龙820（MSM8996）|2.15GHz  四核|3500mAh  不可拆卸式电池|1300万像素|ZUI 2.0（基于Android 6.0）|4GB|1299
OPPO K3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.43英寸  2560x1080像素|高通 骁龙710|3800mAh  不可拆卸式电池|2400万像素+200万像素|ColorOS 5.2（基于Android 8.1）|6GB|128GB|概念产品
魅族V8（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1280x720像素|联发科 MT6739|1.5GHz|3200mAh  不可拆卸式电池|1300万像素|Android 8.1|3GB|799
Moto G7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸|高通 骁龙632|3000mAh  不可拆卸式电池|1200万像素+500万像素|4GB|64GB|MicroSD卡|即将上市
三星领世旗舰8（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|4.2英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.15GHz（大四核），1.6GHz（小四核）  四核|2300mAh|1200万像素|4GB|64GB|8358
索尼Xperia XZ2（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.7英寸  2160x1080像素|高通 骁龙845|2.8GHz（大四核），1.8GHz（小四核）  八核|3060mAh  不可拆卸式电池|1900万像素|Android 8.0|6GB|4699
华为Mate 10保时捷版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|4000mAh|1200万像素+2000万像素|EMUI 8.0（基于Android 8.0）|6GB|5288
HTC U11（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3000mAh|1200万像素|Android 7.1|4GB|2499
小米8（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.21英寸  2248x1080像素|高通 骁龙845|2.8GHz  八核|3400mAh  不可拆卸式电池|1200万像素广角镜头+1200万像素长焦镜头|MIUI 9（基于Android 8.1）|8GB|2899
Moto Z 2018（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|高通 骁龙835（MSM8998）|2.35GHz  八核|2730mAh|双1200万像素|Android 7.1|6GB|9999
努比亚Z17 miniS（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙653（MSM8976 Pro）|1.958GHz（大四核），1.4GHz（小四核）  八核|3200mAh  不可拆卸式电池|双1300万像素|nubia UI 5.0（基于Android 7.1）|6GB|999
荣耀V9（DUK-AL20/4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核I6  八核|4000mAh  不可拆卸式电池|双1200万像素|EMUI 5.1（基于Android 7.0）|4GB|1900
华为Mate 10（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.9英寸  2560x1440像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|4000mAh  不可拆卸式电池|2000万像素+1200万像素|EMUI 8.0（基于Android 8.0）|6GB|3999
诺基亚8（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.3英寸  2560x1440像素|高通 骁龙835（MSM8998）|2.5GHz（大四核），1.8GHz（小四核）  八核|3090mAh  不可拆卸式电池|双1300万像素|Android 7.1|4GB|3599
荣耀畅玩5A（CAM-AL00/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙617（MSM8952）|1.5GHz（大四核），1.2GHz（小四核）  八核|3100mAh  不可拆卸式电池|1300万像素|EMUI 4.1（基于Android 6.0）|2GB|629
360 手机N5（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙653（MSM8976 Pro）|1.8GHz（大四核），1.4GHz（小四核）  八核|4000mAh  不可拆卸式电池|1300万像素|360 OS 2.0（基于Android 6.0）|6GB|1199
华为P30 Lite（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.15英寸  1920x1080像素|海思 Kirin 710|3240mAh  不可拆卸式电池|4000万像素+2000万像素+2000万像素|6GB|64GB|2400|概念产品
苹果iPhone 11（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.8英寸  2160x1080像素|苹果 A12|3600mAh  不可拆卸式电池|双1900万像素|iOS 12|4GB|64GB/256GB/512GB|概念产品
OPPO Find X（国际版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.42英寸|高通 骁龙845|3730mAh|1600万像素+2000万像素|Color OS 5.1（基于Android 8.1）|8GB|256GB|即将上市
魅族PRO 6s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 Helio X25（MT6797T）|2.5GHz  十核|3060mAh  不可拆卸式电池|1200万像素|Android 6.0|4GB|1799
金立M7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|联发科 Helio P30|2.3GHz  八核|4000mAh  不可拆卸式电池|1600万像素+800万像素|amigo 5.0（基于Android 7.1）|6GB|2499
vivo Y97（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2280x1080像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3315mAh  不可拆卸式电池|1600万像素+200万像素|Funtouch Os 4.5（基于Android 8.1）|6GB|2098
vivo Z1（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.257英寸  2280x1080像素|高通 骁龙660AIE|2.2GHz（大四核），1.8GHz（小四核）  八核|3260mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS 4.0（基于Android 8.1）|6GB|1398
联想S5 Pro（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2246x1080像素|高通 骁龙636|1.8GHz  八核|3500mAh  不可拆卸式电池|1200万像素+2000万像素|ZUI 5.0（基于Android 8.1）|6GB|1298
魅族魅蓝E（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P10|1.8GHz（大四核），1.0GHz（小四核）  八核|3100mAh  不可拆卸式电池|1300万像素|YunOS|3GB|699
荣耀畅玩6A（DLI-AL10/高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙430（MSM8937）|1.4GHz（大四核），1.1GHz（小四核）  八核|3020mAh  不可拆卸式电池|1300万像素|EMUI 5.1（基于Android 7.0）|3GB|700
荣耀8（FRD-AL00/4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|海思 Kirin 950|2.3GHz（大四核），1.8GHz（小四核）  八核|3000mAh  不可拆卸式电池|双1200万像素|EMUI 5.0（基于Android 7.0）|4GB|1200
LG V30 Plus（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|6英寸  2880x1440像素|高通 骁龙835（MSM8998）|1600万像素+1300万像素|Android 7.1|4GB|128GB|MicroSD卡|4868
荣耀畅玩7C（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙450|1.8GHz  八核|3000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.0（基于Android 8.0）|4GB|1090
魅族魅蓝X（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P20|2.3GHz（大四核），1.6GHz（小四核）  八核|3200mAh  不可拆卸式电池|1200万像素|Flyme|3GB|999
一加3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙820（MSM8996）|2.2GHz（大二核），1.6GHz（小二核）  四核|3000mAh  不可拆卸式电池|1600万像素|H2OS 1.4（基于Android 6.0）|6GB|2499
魅族魅蓝Note 6（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|4000mAh  不可拆卸式电池|1200万像素+500万像素|Flyme 6（基于Android 7.1）|4GB|1299
黑莓KEY2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙660|2.2GHz  八核|6GB|CMOS|LED补光灯|2018年06月|4G手机，3G手机，智能手机|3499
三星GALAXY C9 Pro（C9000/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1920x1080像素|高通 骁龙653（MSM8976 Pro）|1.95GHz（大四核），1.4GHz（小四核）  八核|4000mAh  不可拆卸式电池|1600万像素|Android 6.0|6GB|2195
小米8屏幕指纹版（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.21英寸  2248x1080像素|高通 骁龙845 AIE|2.8GHz  八核|3000mAh  不可拆卸式电池|双1200万像素|Android 8.1|8GB|3399
美图T8s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 Helio X27（MT6797X）|2.5GHz  十核|3580mAh  不可拆卸式电池|2100万像素|MEIOS 4（基于Android 7.1）|4GB|1799
努比亚X（8GB RAM/深空灰/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙845|2.8GHz  八核|3800mAh  不可拆卸式电池|2400万像素+1600万像素|nubia UI 6.0.2（基于Android 8.1）|8GB|3699
荣耀畅玩5（CUN-TL00/移动4G）|移动TD-LTE|5英寸  1280x720像素|联发科 MT6735P|1.3GHz  四核|2200mAh  可拆卸式电池|800万像素|EMUI 3.1 Lite（基于Android 5.1）|2GB|540
vivo NEX（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.59英寸  2316x1080像素|高通 骁龙710|2.2GHz（大二核），1.7GHz（小六核）  八核|4000mAh  不可拆卸式电池|2x1200万像素（2400万感光单元）+500万像素|Funtouch OS 4.0（基于Android 8.1）|8GB|3998
诺基亚8110（双4G）|移动TD-LTE|2.4英寸|高通 骁龙205|200万像素|512MB|4GB|双卡，SIM卡|QVGA|499
荣耀9X（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2560x1440像素|海思 Kirin 980|4000mAh  不可拆卸式电池|1600万像素+200万像素|8GB|128GB|800万像素|概念产品
魅族M15（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.46英寸  1920x1080像素|高通 骁龙626|2.2GHz|3000mAh  不可拆卸式电池|1200万像素|Flyme 7|4GB|1398
美图M8s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 MT6797X|2.5GHz  十核|3100mAh  不可拆卸式电池|2100万像素|MEIOS 4（基于Android 7.1）|4GB|1099
黑鲨游戏手机Helo（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|4000mAh  不可拆卸式电池|2000万像素+1200万像素|8GB|128GB|3199
Moto Z（XT1650-05/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|高通 骁龙820（MSM8996）|1.8GHz  四核|2600mAh  不可拆卸式电池|1300万像素|Android 6.0|4GB|1399
OPPO F11 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸|联发科 SoC|4000mAh  不可拆卸式电池|4000万像素+500万像素|Android 9|6GB|128GB|概念产品
荣耀9（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.15英寸  1920x1080像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核I6  八核|3200mAh  不可拆卸式电池|1200万像素+2000万像素|EMUI 5.1（基于Android 7.0）|6GB|2100
索尼Xperia XZ1（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|2700mAh|1900万像素|Android|4GB|3999
360 手机N5S（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙653（MSM8976 Pro）|2.0Hz（大四核），1.4GHz（小四核）  八核|3730mAh|1300万像素|360 OS 2.0（基于Android 7.0）|6GB|1299
三星2016版GALAXY A9（A9000/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  1920x1080像素|高通 骁龙652（MSM8976）|1.8GHz（大四核），1.4GHz（小四核）  八核|4000mAh  不可拆卸式电池|1300万像素|Android 5.1|3GB|1688
