品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
小米6X（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙660AIE|2.2GHz  八核|3010mAh  不可拆卸式电池|2000万像素+1200万像素|MIUI 9（基于Android 8.1）|4GB|1599
三星GALAXY S8（G9500/双卡版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.8英寸  2960x1440像素|高通 骁龙835（MSM8998）|2.35GHz（大四核），1.9GHz（小四核）  八核|3000mAh  不可拆卸式电池|1200万像素|Android 7.0|4GB|3989
小米6（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.15英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.45GHz  八核|3350mAh  不可拆卸式电池|双1200万像素|MIUI 8（基于Android）|6GB|2199
小米Play（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.84英寸  2280x1080像素|联发科 Helio P35|2.3GHz  八核|2900mAh  不可拆卸式电池|1200万像素+200万像素|Android 8.1|4GB|1099
华为nova 2s（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核i6  八核|3340mAh  不可拆卸式电池|2000万像素+1600万像素|EMUI 8.0（基于Android 8.0）|4GB|1599
三星Galaxy A8s（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙710|2.2GHz（大四核），1.7GHz（小四核）  八核|3400mAh  不可拆卸式电池|2400万像素+500万像素+1000万像素|6GB|128GB|2799
OPPO R19（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙725|3700mAh  不可拆卸式电池|双4000万像素|ColorOS 5.2（基于Android 8.1）|6GB|128GB|概念产品
荣耀9i（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.84英寸  2280x1080像素|海思 Kirin 659|2.36GHz（大四核），1.7GHz（小四核）  八核|3000mAh|1300万像素+200万像素|EMUI 8.0（基于Android 8.0）|4GB|1198
vivo X9（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3050mAh  不可拆卸式电池|1600万像素|Funtouch OS 3.0（基于Android 6.0）|4GB|1998
vivo X20（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz（大四核），1.8GHz（小四核）  八核|3245mAh  不可拆卸式电池|主摄2x1200万像素（2400万感光单元）+副摄500万像素|Funtouch OS 3.2（基于Android 7.1）|4GB|1998
OPPO A3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2280x1080像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3400mAh  不可拆卸式电池|1600万像素|ColorOS 5.0（基于Android 8.1）|4GB|1599
OPPO A7（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1520x720像素|高通 骁龙450B|1.8GHz  八核|4230mAh  不可拆卸式电池|1300万像素+200万像素|ColorOS 5.2（基于Android 8.1）|4GB|1599
荣耀畅玩8C（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  1520x720像素|高通 骁龙632|1.8GHz  八核|4000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.2（基于Android 8.1）|4GB|999
小米MIX 2s（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|3400mAh  不可拆卸式电池|双1200万像素|6GB|64GB/128GB|2399
华为Mate 10 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|4000mAh|1200万像素+2000万像素|EMUI 8.0（基于Android 8.0）|6GB|3599
一加6（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|高通 骁龙845|2.8GHz  八核|3300mAh  不可拆卸式电池|1600万像素+2000万像素|H2 OS 5.1（基于Android 8.1）|8GB|2799
华为P10（VTR-AL00/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.1英寸  1920x1080像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核I6  八核|3200mAh  不可拆卸式电池|2000万像素+1200万像素|EMUI 5.1（基于Android 7.0）|4GB|3488
